"","variable","value","Var1"
"563","G",-0.0184248170656439,"CPI"
"564","G",-0.053930674390898,"CPI"
"565","G",-0.00978313330649234,"CPI"
"566","G",0.0887707336876464,"CPI"
"567","G",-0.0462674103774307,"CPI"
"568","G",0.0873169938820619,"CPI"
"569","G",-0.0532784025572317,"CPI"
"570","G",-0.074547251504289,"CPI"
"571","G",-0.00946392713137888,"CPI"
"572","G",-0.0167145436047436,"CPI"
"573","G",0.128829556423038,"CPI"
"574","G",0.113717719536307,"CPI"
"575","G",-0.0437043156169171,"CPI"
"576","G",0.039348445482701,"CPI"
"577","G",0.00200097112462456,"CPI"
"578","G",-0.0555907132283924,"CPI"
"579","G",-0.0481802840879626,"CPI"
"580","G",0.0265448226120511,"CPI"
"581","G",-0.0308563356190067,"CPI"
"582","G",0.0219922685162046,"CPI"
"583","G",-0.156434021569116,"CPI"
"584","G",-0.0298812777059469,"CPI"
"585","G",0.00817410393730932,"CPI"
"586","G",0.000883643889667999,"CPI"
"587","G",0.0327693085967909,"CPI"
"588","G",-0.0209864480110541,"CPI"
"589","G",-0.0394614493708813,"CPI"
"590","G",-0.000523944369061958,"CPI"
"591","G",0.0387414373083452,"CPI"
"592","G",0.0578152743141766,"CPI"
"593","G",-0.00809204065979142,"CPI"
"594","G",0.00752135056362151,"CPI"
"595","G",-0.0105494884789347,"CPI"
"596","G",0.0641391287465617,"CPI"
"597","G",-0.0198697765768571,"CPI"
"598","G",-0.00332479074887252,"CPI"
"599","G",-0.000633653362698513,"CPI"
"600","G",-0.00549552077895745,"CPI"
"601","G",-0.0103510057798145,"CPI"
"602","G",-0.0268953791374749,"CPI"
"603","G",0.0376646084041408,"CPI"
"604","G",-0.113250513792432,"CPI"
"605","G",0.0782708032064012,"CPI"
"606","G",-0.0714115450937555,"CPI"
"607","G",0.0940900504432205,"CPI"
"608","G",0.0150341266125106,"CPI"
"609","G",-0.0159842500835694,"CPI"
"610","G",-0.0883821905418302,"CPI"
"611","G",-0.0359973005449509,"CPI"
"612","G",0.0525477182596652,"CPI"
"613","G",0.0387419268872019,"CPI"
"614","G",-0.0187690520090415,"CPI"
"615","G",-0.00244165237196907,"CPI"
"616","G",-0.00172773456238256,"CPI"
"617","G",-0.00425337462205966,"CPI"
"618","G",-0.0897324605148422,"CPI"
"619","G",0.0635925004619138,"CPI"
"620","G",-0.0516470816588901,"CPI"
"621","G",0.0105887518916484,"CPI"
"622","G",-0.069933201018075,"CPI"
"623","G",0.18183380627503,"CPI"
"624","G",0.120014012901779,"CPI"
"625","G",0.0535101970516947,"CPI"
"626","G",-0.0166506237547328,"CPI"
"627","G",-0.0365870942996546,"CPI"
"628","G",0.0183082419282604,"CPI"
"629","G",0.0110203779268621,"CPI"
"630","G",0.0637114320941643,"CPI"
"631","G",-0.00301592406643853,"CPI"
"632","G",-0.00343285631281339,"CPI"
"633","G",-0.0173537378990425,"CPI"
"634","G",0.0410980817058712,"CPI"
"635","G",-0.00210966324721425,"CPI"
"636","G",0.00546306688803588,"CPI"
"637","G",0.0439470203957355,"CPI"
"638","G",-0.0237064206545101,"CPI"
"639","G",0.0028091692590216,"CPI"
"640","G",0.0157706888985262,"CPI"
"641","G",-0.0502716858319691,"CPI"
"642","G",-0.0794212305411938,"CPI"
"643","G",-0.00029182185750968,"CPI"
"644","G",0.0596265102968813,"CPI"
"645","G",-0.00868784590551997,"CPI"
"646","G",0.00310760786459295,"CPI"
"647","G",0.0853038597066578,"CPI"
"648","G",0.0100496491618082,"CPI"
"649","G",-0.0495380450826162,"CPI"
"650","G",-0.00385943833134909,"CPI"
"651","G",-0.0777541908735802,"CPI"
"652","G",0.0236558846553622,"CPI"
"653","G",-0.0143664333481803,"CPI"
"654","G",-0.0228824532722999,"CPI"
"655","G",-0.00558349225411149,"CPI"
"656","G",-0.0453929280336733,"CPI"
"657","G",0.00262908524192881,"CPI"
"658","G",-0.0890415626860317,"CPI"
"659","G",-0.0316412557719013,"CPI"
"660","G",0.0274155178781506,"CPI"
"661","G",0.0562721454327894,"CPI"
"662","G",-0.0369102121855993,"CPI"
"663","G",-0.0180729331255332,"CPI"
"664","G",-0.0187511237989258,"CPI"
"665","G",0.0179780015945266,"CPI"
"666","G",-0.129595252108591,"CPI"
"667","G",0.0699921700051879,"CPI"
"668","G",0.0672988707990896,"CPI"
"669","G",0.00659568214252059,"CPI"
"670","G",0.084653589066172,"CPI"
"671","G",-0.0507614984358513,"CPI"
"672","G",0.0204487542123516,"CPI"
"673","G",-0.0350341180341964,"CPI"
"674","G",0.133958125323515,"CPI"
"675","G",0.0748334245705678,"CPI"
"676","G",-0.0202117368284911,"CPI"
"677","G",-0.116528041256833,"CPI"
"678","G",0.0871746450086845,"CPI"
"679","G",0.0357551480880638,"CPI"
"680","G",-0.0270599661467939,"CPI"
"681","G",0.0165753703693154,"CPI"
"682","G",-0.00142408646616966,"CPI"
"683","G",-0.0552969255113105,"CPI"
