"","Var1","Var2","value"
"379","CPI","X1",-0.0437394309605132
"380","CPI","X1",0.60059979284001
"381","CPI","X1",-0.18726064643557
"382","CPI","X1",0.0106865792467854
"383","CPI","X1",-0.0584843684702974
"384","CPI","X1",-0.0485248463613085
"385","CPI","X1",-0.27088019410696
"386","CPI","X1",-0.0730243898098469
"387","CPI","X1",0.245826194224857
"388","CPI","X1",-0.129600988164045
"389","CPI","X1",0.0294973116671052
"390","CPI","X1",0.222908197693759
"391","CPI","X1",-0.00871406399154291
"392","CPI","X1",-0.111814652138084
"393","CPI","X1",0.230700833405936
"394","CPI","X1",0.182745934209017
"395","CPI","X1",0.0939381182906154
"396","CPI","X1",-0.130318536022613
"397","CPI","X1",-0.0946065429856233
"398","CPI","X1",-0.418284327246478
"399","CPI","X1",-0.0900597980142134
"400","CPI","X1",-0.073155173112836
"401","CPI","X1",0.124317650954201
"402","CPI","X1",0.387342526067378
"403","CPI","X1",-0.07631949827487
"404","CPI","X1",-0.161446496632218
"405","CPI","X1",0.0330142746386828
"406","CPI","X1",-0.259729962517693
"407","CPI","X1",-0.234667624092831
"408","CPI","X1",0.120940444518825
"409","CPI","X1",-0.0752160051824706
"410","CPI","X1",0.165289114652407
"411","CPI","X1",0.00379133798880186
"412","CPI","X1",-0.149565397420008
"413","CPI","X1",0.120048677086508
"414","CPI","X1",0.11634311584862
"415","CPI","X1",0.00085531889098696
"416","CPI","X1",-0.574807618086163
"417","CPI","X1",0.13527928458712
"418","CPI","X1",-0.148463496114487
"419","CPI","X1",-0.0914588220181587
"420","CPI","X1",-0.191000213899109
"421","CPI","X1",-0.105753995680052
"422","CPI","X1",-0.088288428398481
"423","CPI","X1",-0.25898934740756
"424","CPI","X1",0.238841913994802
"425","CPI","X1",-0.0541052402570077
"426","CPI","X1",0.0727955904676762
"427","CPI","X1",0.00221354122110791
"428","CPI","X1",0.107396538074952
"429","CPI","X1",0.114466718025219
"430","CPI","X1",0.0614904142557358
"431","CPI","X1",0.0521290543194007
"432","CPI","X1",-0.26535799619169
"433","CPI","X1",-0.414435868166692
"434","CPI","X1",0.120600079401614
"435","CPI","X1",-0.105125898067812
"436","CPI","X1",-0.027563996166563
"437","CPI","X1",-0.123131736917371
"438","CPI","X1",0.0198916563023616
"439","CPI","X1",-0.0715069105782241
"440","CPI","X1",-0.0920943571215806
"441","CPI","X1",-0.0118083486546705
"442","CPI","X1",-0.0345417873126197
"443","CPI","X1",-0.323338753871052
"444","CPI","X1",0.144164664354174
"445","CPI","X1",0.112470074257962
"446","CPI","X1",0.269066191900741
"447","CPI","X1",-0.0197326130372946
"448","CPI","X1",0.104449241069568
"449","CPI","X1",0.0309705440233717
"450","CPI","X1",-0.0718759479128656
"451","CPI","X1",-0.190253792277165
"452","CPI","X1",-0.187070678172875
"453","CPI","X1",-0.371962086600067
"454","CPI","X1",0.062670076010016
"455","CPI","X1",-0.100749710425169
"456","CPI","X1",0.203968849399458
"457","CPI","X1",0.281700852647857
"458","CPI","X1",0.163842691934668
"459","CPI","X1",0.23175167605854
"460","CPI","X1",-0.0888608953359423
"461","CPI","X1",0.343243927326469
"462","CPI","X1",-0.0703442655346949
"463","CPI","X1",0.0169531159387817
"464","CPI","X1",-0.348965744014045
"465","CPI","X1",0.0796270358959339
"466","CPI","X1",-0.112095228583544
"467","CPI","X1",-0.181768218582447
"468","CPI","X1",-0.612508368578896
"469","CPI","X1",-0.195846671451575
